minecraft|25|1||C:/Users/Justus/Videos/2025-07-22 01-16-52.mp4||||||||
test1|34|4||C:/Users/Justus/Videos/2025-08-04 01-58-45.mp4|C:\Users\Justus\lprt\audio_fixed\1_test1_track_mic_fixed.aac|C:\Users\Justus\lprt\audio\1_test1_track_desktop.aac||||||
test1|35|4||C:/Users/Justus/Videos/2025-08-04 01-59-27.mp4|C:\Users\Justus\lprt\audio_fixed\2_test1_track_mic_fixed.aac|C:\Users\Justus\lprt\audio\2_test1_track_desktop.aac||||||
test1|36|4||C:/Users/Justus/Videos/2025-08-04 02-00-44.mp4|C:\Users\Justus\lprt\audio_fixed\3_test1_track_mic_fixed.aac|C:\Users\Justus\lprt\audio\3_test1_track_desktop.aac||||||
test1|37|4||C:/Users/Justus/Videos/2025-08-04 02-01-00.mp4|C:\Users\Justus\lprt\audio_fixed\4_test1_track_mic_fixed.aac|C:\Users\Justus\lprt\audio\4_test1_track_desktop.aac||||||
test1|38|4||C:/Users/Justus/Videos/2025-08-04 13-26-12.mp4|C:\Users\Justus\lprt\audio_fixed\5_test1_track_mic_fixed.aac|C:\Users\Justus\lprt\audio\5_test1_track_desktop.aac||||||
minecraft|39|1|C:\Users\Justus\lprt\thumbnails\9_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-04 22-49-23.mp4|C:\Users\Justus\lprt\audio\9_minecraft_mic.aac|C:\Users\Justus\lprt\audio\9_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\9_minecraft_track_mic_fixed.aac|C:/Users/Justus/lprt/audio_fixed/audacity_export/_-01.aac|C:\Users\Justus\lprt\video\9_minecraft_s14_final.mp4||Die verschollenen Episoden &Ouml;|
minecraft|40|1|C:\Users\Justus\lprt\thumbnails\10_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-04 23-09-58.mp4|C:\Users\Justus\lprt\audio\10_minecraft_mic.aac|C:\Users\Justus\lprt\audio\10_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\10_minecraft_track_mic_fixed.aac|C:/Users/Justus/lprt/audio_fixed/audacity_export/_-02.aac|C:\Users\Justus\lprt\video\10_minecraft_s14_final.mp4||Reden & zerlegen|
minecraft|41|1|C:\Users\Justus\lprt\thumbnails\11_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-04 23-38-38.mp4|C:\Users\Justus\lprt\audio\11_minecraft_mic.aac|C:\Users\Justus\lprt\audio\11_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\11_minecraft_track_mic_fixed.aac|C:/Users/Justus/lprt/audio_fixed/audacity_export/_-11.aac|C:\Users\Justus\lprt\video\11_minecraft_s14_final.mp4||Was w&auml;re wenn?|
minecraft|42|1|C:\Users\Justus\lprt\thumbnails\12_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-07 20-51-27.mp4|C:\Users\Justus\lprt\audio\12_minecraft_mic.aac|C:\Users\Justus\lprt\audio\12_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\12_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\11_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\12_minecraft_s14_final.mp4||Die Technik Junge! Die Technik!|
minecraft|43|1|C:\Users\Justus\lprt\thumbnails\13_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-07 21-15-50.mp4|C:\Users\Justus\lprt\audio\13_minecraft_mic.aac|C:\Users\Justus\lprt\audio\13_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\13_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\12_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\13_minecraft_s14_final.mp4||Nadel&auml;ngste|
minecraft|44|1|C:\Users\Justus\lprt\thumbnails\14_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-07 21-39-50.mp4|C:\Users\Justus\lprt\audio\14_minecraft_mic.aac|C:\Users\Justus\lprt\audio\14_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\14_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\13_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\14_minecraft_s14_final.mp4||Ganz oder in Scheiben?|
minecraft|45|1|C:\Users\Justus\lprt\thumbnails\15_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-07 22-29-10.mp4|C:\Users\Justus\lprt\audio\15_minecraft_mic.aac|C:\Users\Justus\lprt\audio\15_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\15_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\14_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\15_minecraft_s14_final.mp4||Ulkige H&ouml;hlenforschung|
minecraft|46|1|C:\Users\Justus\lprt\thumbnails\16_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-07 22-54-21.mp4|C:\Users\Justus\lprt\audio\16_minecraft_mic.aac|C:\Users\Justus\lprt\audio\16_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\16_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\15_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\16_minecraft_s14_final.mp4||W&uuml;stenexpedition mit Haken & Zombies|
minecraft|47|1|C:\Users\Justus\lprt\thumbnails\17_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-07 23-17-23.mp4|C:\Users\Justus\lprt\audio\17_minecraft_mic.aac|C:\Users\Justus\lprt\audio\17_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\17_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\16_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\17_minecraft_s14_final.mp4||Das Piratenschiff!|
minecraft|48|1|C:\Users\Justus\lprt\thumbnails\18_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-08 00-00-28.mp4|C:\Users\Justus\lprt\audio\18_minecraft_mic.aac|C:\Users\Justus\lprt\audio\18_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\18_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\17_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\18_minecraft_s14_final.mp4||&Uuml;ber Knochen & F&auml;sser|
minecraft|49|1|C:\Users\Justus\lprt\thumbnails\19_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-08 00-24-10.mp4|C:\Users\Justus\lprt\audio\19_minecraft_mic.aac|C:\Users\Justus\lprt\audio\19_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\19_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\18_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\19_minecraft_s14_final.mp4||Spitzhackenbohrerdingens RATATA!|
minecraft|50|1|C:\Users\Justus\lprt\thumbnails\20_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-08 00-47-39.mp4|C:\Users\Justus\lprt\audio\20_minecraft_mic.aac|C:\Users\Justus\lprt\audio\20_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\20_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\19_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\20_minecraft_s14_final.mp4||&Ouml;rly Axes... glaub ich|
test1|51|4||C:/Users/Justus/Videos/2025-08-10 20-16-03.mp4||||||||
test1|52|4||C:/Users/Justus/Videos/2025-08-10 20-18-22.mp4||||||||
test1|53|4||C:/Users/Justus/Videos/2025-08-10 20-23-03.mp4||||||||
test1|54|4||C:/Users/Justus/Videos/2025-08-10 20-23-03.mp4||||||||
test1|55|4||C:/Users/Justus/Videos/2025-08-10 20-23-48.mp4||||||||
7_days_to_die_staffel_zwei|56|5||C:/Users/Justus/Videos/2025-08-11 21-43-30.mp4||||||||
7_days_to_die_staffel_zwei|57|5||C:/Users/Justus/Videos/2025-08-11 22-37-16.mp4||||||||
7_days_to_die_staffel_zwei|58|5||C:/Users/Justus/Videos/2025-08-11 22-58-01.mp4||||||||
7_days_to_die_staffel_zwei|59|5||C:/Users/Justus/Videos/2025-08-11 23-26-25.mp4||||||||
7_days_to_die_staffel_zwei|60|5||C:/Users/Justus/Videos/2025-08-11 23-57-10.mp4||||||||
minecraft|61|1|C:\Users\Justus\lprt\thumbnails\21_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-13 22-12-06.mp4|C:\Users\Justus\lprt\audio\21_minecraft_mic.aac|C:\Users\Justus\lprt\audio\21_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\21_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\20_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\21_minecraft_s14_final.mp4||Abtrag im Auftrag|
minecraft|62|1|C:\Users\Justus\lprt\thumbnails\22_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-13 22-51-44.mp4|C:\Users\Justus\lprt\audio\22_minecraft_mic.aac|C:\Users\Justus\lprt\audio\22_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\22_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\21_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\22_minecraft_s14_final.mp4|||
minecraft|63|1|C:\Users\Justus\lprt\thumbnails\23_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-13 23-25-16.mp4|C:\Users\Justus\lprt\audio\23_minecraft_mic.aac|C:\Users\Justus\lprt\audio\23_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\23_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\22_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\23_minecraft_s14_final.mp4|||
minecraft|64|1|C:\Users\Justus\lprt\thumbnails\24_minecraft_thumbnail.png|C:/Users/Justus/Videos/2025-08-14 00-03-03.mp4|C:\Users\Justus\lprt\audio\24_minecraft_mic.aac|C:\Users\Justus\lprt\audio\24_minecraft_desktop.aac|C:\Users\Justus\lprt\audio_fixed\24_minecraft_track_mic_fixed.aac|C:\Users\Justus\lprt\audio_fixed\23_track_mic_fixed_ac.aac|C:\Users\Justus\lprt\video\24_minecraft_s14_final.mp4|||
